;Tweets;Labels;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
10;Bubur diaduk or tidak diaduk;1;bubur diaduk or tidak diaduk;['bubur', 'diaduk', 'or', 'tidak', 'diaduk'];['bubur', 'diaduk', 'or', 'tidak', 'diaduk'];['bubur', 'diaduk', 'or', 'diaduk'];bubur diaduk or diaduk;bubur aduk or aduk
11;bubur diaduk/diaduk?;1;bubur diaduk diaduk;['bubur', 'diaduk', 'diaduk'];['bubur', 'diaduk', 'diaduk'];['bubur', 'diaduk', 'diaduk'];bubur diaduk diaduk;bubur aduk aduk
12;@zvhaolusi Bubur diaduk apa disedot;1;user bubur diaduk apa disedot;['user', 'bubur', 'diaduk', 'apa', 'disedot'];['user', 'bubur', 'diaduk', 'apa', 'disedot'];['user', 'bubur', 'diaduk', 'disedot'];user bubur diaduk disedot;user bubur aduk sedot
13;fvk bubur diaduk, penistaan tehadap seni visual buryam https://t.co/frm3p3OzUD;0;fvk bubur diaduk penistaan tehadap seni visual buryam cofrm3p3ozud;['fvk', 'bubur', 'diaduk', 'penistaan', 'tehadap', 'seni', 'visual', 'buryam', 'cofrm3p3ozud'];['fvk', 'bubur', 'diaduk', 'penistaan', 'tehadap', 'seni', 'visual', 'buryam', 'cofrm3p3ozud'];['fvk', 'bubur', 'diaduk', 'penistaan', 'tehadap', 'seni', 'visual', 'buryam', 'cofrm3p3ozud'];fvk bubur diaduk penistaan tehadap seni visual buryam cofrm3p3ozud;fvk bubur aduk nista tehadap seni visual buryam cofrm3p3ozud
14;"Team Bubur Diadukâ
Team Bubur Gak diadukâ
Team Gak makan bubur â";1;team bubur diaduk team bubur gak diaduk team gak makan bubur;['team', 'bubur', 'diaduk', 'team', 'bubur', 'gak', 'diaduk', 'team', 'gak', 'makan', 'bubur'];['team', 'bubur', 'diaduk', 'team', 'bubur', 'tidak', 'diaduk', 'team', 'tidak', 'makan', 'bubur'];['team', 'bubur', 'diaduk', 'team', 'bubur', 'diaduk', 'team', 'makan', 'bubur'];team bubur diaduk team bubur diaduk team makan bubur;team bubur aduk team bubur aduk team makan bubur
15;orangâ pada sibuk bubur diaduk sma engga diaduk, gw yg adem anyem aj bubur pke saos barbeque https://t.co/q7JJFiSpOC;1;orang pada sibuk bubur diaduk sma engga diaduk gw yg adem anyem aj bubur pke saos barbeque coq7jjfispoc;['orang', 'pada', 'sibuk', 'bubur', 'diaduk', 'sma', 'engga', 'diaduk', 'gw', 'yg', 'adem', 'anyem', 'aj', 'bubur', 'pke', 'saos', 'barbeque', 'coq7jjfispoc'];['orang', 'pada', 'sibuk', 'bubur', 'diaduk', 'sama', 'tidak', 'diaduk', 'saya', 'yang', 'adem', 'anyem', 'saja', 'bubur', 'pke', 'saos', 'barbeque', 'coq7jjfispoc'];['orang', 'sibuk', 'bubur', 'diaduk', 'diaduk', 'adem', 'anyem', 'bubur', 'pke', 'saos', 'barbeque', 'coq7jjfispoc'];orang sibuk bubur diaduk diaduk adem anyem bubur pke saos barbeque coq7jjfispoc;orang sibuk bubur aduk aduk adem anyem bubur pke saos barbeque coq7jjfispoc
16;Perkara bubur diaduk ama ga diaduk ga kelar2 ajg https://t.co/t1djnfDJlc;0;perkara bubur diaduk ama ga diaduk ga kelar2 ajg cot1djnfdjlc;['perkara', 'bubur', 'diaduk', 'ama', 'ga', 'diaduk', 'ga', 'kelar2', 'ajg', 'cot1djnfdjlc'];['perkara', 'bubur', 'diaduk', 'sama', 'tidak', 'diaduk', 'tidak', 'kelar2', 'ajg', 'cot1djnfdjlc'];['perkara', 'bubur', 'diaduk', 'diaduk', 'kelar2', 'ajg', 'cot1djnfdjlc'];perkara bubur diaduk diaduk kelar2 ajg cot1djnfdjlc;perkara bubur aduk aduk kelar2 ajg cot1djnfdjlc
17;"@BBYAMBIwuih tim bubur gak diaduk soalnya kalau diaduk ga estetik udah kek makanan ayam

@IUUUwuih sampe sekarang mâ¦ https://t.co/a8srGFJQZ9";0;user tim bubur gak diaduk soalnya kalau diaduk ga estetik udah kek makanan ayam user sampe sekarang coa8srgfjqz9;['user', 'tim', 'bubur', 'gak', 'diaduk', 'soalnya', 'kalau', 'diaduk', 'ga', 'estetik', 'udah', 'kek', 'makanan', 'ayam', 'user', 'sampe', 'sekarang', 'coa8srgfjqz9'];['user', 'tim', 'bubur', 'tidak', 'diaduk', 'soalnya', 'kalau', 'diaduk', 'tidak', 'estetik', 'sudah', 'kayak', 'makanan', 'ayam', 'user', 'sampai', 'sekarang', 'coa8srgfjqz9'];['user', 'tim', 'bubur', 'diaduk', 'diaduk', 'estetik', 'kayak', 'makanan', 'ayam', 'user', 'coa8srgfjqz9'];user tim bubur diaduk diaduk estetik kayak makanan ayam user coa8srgfjqz9;user tim bubur aduk aduk estetik kayak makan ayam user coa8srgfjqz9
18;@amfas2020 Ampuun tim bubur diaduk jgn marahin kita yað­ðâð;1;user ampuun tim bubur diaduk jgn marahin kita ya;['user', 'ampuun', 'tim', 'bubur', 'diaduk', 'jgn', 'marahin', 'kita', 'ya'];['user', 'ampuun', 'tim', 'bubur', 'diaduk', 'jangan', 'marahin', 'kita', 'ya'];['user', 'ampuun', 'tim', 'bubur', 'diaduk', 'marahin', 'ya'];user ampuun tim bubur diaduk marahin ya;user ampuun tim bubur aduk marahin ya
19;@AndromedaJ_ jingga kalo makan bubur diaduk apa dilemparin;0;user jingga kalo makan bubur diaduk apa dilemparin;['user', 'jingga', 'kalo', 'makan', 'bubur', 'diaduk', 'apa', 'dilemparin'];['user', 'jingga', 'kalau', 'makan', 'bubur', 'diaduk', 'apa', 'dilemparin'];['user', 'jingga', 'makan', 'bubur', 'diaduk', 'dilemparin'];user jingga makan bubur diaduk dilemparin;user jingga makan bubur aduk dilemparin
20;@dalunathe @PRlSKILA @jaydennio bubur diaduk ap ga diaduk kalo bleh tau;1;user user user bubur diaduk ap ga diaduk kalo bleh tau;['user', 'user', 'user', 'bubur', 'diaduk', 'ap', 'ga', 'diaduk', 'kalo', 'bleh', 'tau'];['user', 'user', 'user', 'bubur', 'diaduk', 'ap', 'tidak', 'diaduk', 'kalau', 'bleh', 'tau'];['user', 'user', 'user', 'bubur', 'diaduk', 'ap', 'diaduk', 'bleh', 'tau'];user user user bubur diaduk ap diaduk bleh tau;user user user bubur aduk ap aduk bleh tau
21;"tim bubur ayam gak diaduk siniðâ

sarapan plus maksi alias ngebrunchð¨â¤ï¸âð©¹ https://t.co/p8nLmn9Xfh";1;tim bubur ayam gak diaduk sini sarapan plus maksi alias ngebrunch cop8nlmn9xfh;['tim', 'bubur', 'ayam', 'gak', 'diaduk', 'sini', 'sarapan', 'plus', 'maksi', 'alias', 'ngebrunch', 'cop8nlmn9xfh'];['tim', 'bubur', 'ayam', 'tidak', 'diaduk', 'sini', 'sarapan', 'ditambah', 'maksi', 'alias', 'ngebrunch', 'cop8nlmn9xfh'];['tim', 'bubur', 'ayam', 'diaduk', 'sarapan', 'ditambah', 'maksi', 'alias', 'ngebrunch', 'cop8nlmn9xfh'];tim bubur ayam diaduk sarapan ditambah maksi alias ngebrunch cop8nlmn9xfh;tim bubur ayam aduk sarap tambah maksi alias ngebrunch cop8nlmn9xfh
22;@JohProdite___ Ternyata iya ya. Bubur diaduk ngeri banget bentuknya. TAPI AKU TEAM DIADUK ð­;0;user ternyata iya ya bubur diaduk ngeri banget bentuknya allcaps tapi aku team diaduk allcaps;['user', 'ternyata', 'iya', 'ya', 'bubur', 'diaduk', 'ngeri', 'banget', 'bentuknya', 'allcaps', 'tapi', 'aku', 'team', 'diaduk', 'allcaps'];['user', 'ternyata', 'iya', 'ya', 'bubur', 'diaduk', 'ngeri', 'banget', 'bentuknya', 'allcaps', 'tapi', 'aku', 'team', 'diaduk', 'allcaps'];['user', 'iya', 'ya', 'bubur', 'diaduk', 'ngeri', 'banget', 'bentuknya', 'allcaps', 'team', 'diaduk', 'allcaps'];user iya ya bubur diaduk ngeri banget bentuknya allcaps team diaduk allcaps;user iya ya bubur aduk ngeri banget bentuk allcaps team aduk allcaps
23;@kenziasha huumph! setuju! harus diaduk bubur tuh. wajib hukumnya. ðð¢;1;user huumph setuju harus diaduk bubur tuh wajib hukumnya;['user', 'huumph', 'setuju', 'harus', 'diaduk', 'bubur', 'tuh', 'wajib', 'hukumnya'];['user', 'huumph', 'setuju', 'harus', 'diaduk', 'bubur', 'itu', 'wajib', 'hukumnya'];['user', 'huumph', 'setuju', 'diaduk', 'bubur', 'wajib', 'hukumnya'];user huumph setuju diaduk bubur wajib hukumnya;user huumph tuju aduk bubur wajib hukum
24;@firwithaf bubur diaduk ato egk;1;user bubur diaduk ato egk;['user', 'bubur', 'diaduk', 'ato', 'egk'];['user', 'bubur', 'diaduk', 'ato', 'egk'];['user', 'bubur', 'diaduk', 'ato', 'egk'];user bubur diaduk ato egk;user bubur aduk ato egk
25;RT @suami_tergoda: Gw sebagai tim bubur diaduk kok jadi bingung ya ð¤ https://t.co/WSU9lGVNdU;1;rt user gw sebagai tim bubur diaduk kok jadi bingung ya cowsu9lgvndu;['rt', 'user', 'gw', 'sebagai', 'tim', 'bubur', 'diaduk', 'kok', 'jadi', 'bingung', 'ya', 'cowsu9lgvndu'];['rt', 'user', 'saya', 'sebagai', 'tim', 'bubur', 'diaduk', 'kok', 'jadi', 'bingung', 'ya', 'cowsu9lgvndu'];['rt', 'user', 'tim', 'bubur', 'diaduk', 'bingung', 'ya', 'cowsu9lgvndu'];rt user tim bubur diaduk bingung ya cowsu9lgvndu;rt user tim bubur aduk bingung ya cowsu9lgvndu
26;@TheModernKate kate aku ngelindur. sarapan bubur ayam dong, kamu tim diaduk apa ngga?;1;user kate aku ngelindur sarapan bubur ayam dong kamu tim diaduk apa ngga;['user', 'kate', 'aku', 'ngelindur', 'sarapan', 'bubur', 'ayam', 'dong', 'kamu', 'tim', 'diaduk', 'apa', 'ngga'];['user', 'kate', 'aku', 'ngelindur', 'sarapan', 'bubur', 'ayam', 'dong', 'kamu', 'tim', 'diaduk', 'apa', 'tidak'];['user', 'kate', 'ngelindur', 'sarapan', 'bubur', 'ayam', 'tim', 'diaduk'];user kate ngelindur sarapan bubur ayam tim diaduk;user kate ngelindur sarap bubur ayam tim aduk
27;@bellsyles @justloveten Bubur itu gak diaduk âð» https://t.co/cenxZA8Ha6;1;user user bubur itu gak diaduk cocenxza8ha6;['user', 'user', 'bubur', 'itu', 'gak', 'diaduk', 'cocenxza8ha6'];['user', 'user', 'bubur', 'itu', 'tidak', 'diaduk', 'cocenxza8ha6'];['user', 'user', 'bubur', 'diaduk', 'cocenxza8ha6'];user user bubur diaduk cocenxza8ha6;user user bubur aduk cocenxza8ha6
28;fact: hobi makan bubur ga diaduk tapi yoongi makan bubur diaduk jangan tanya knp gue tau ðð»;1;fact hobi makan bubur ga diaduk tapi yoongi makan bubur diaduk jangan tanya knp gue tau;['fact', 'hobi', 'makan', 'bubur', 'ga', 'diaduk', 'tapi', 'yoongi', 'makan', 'bubur', 'diaduk', 'jangan', 'tanya', 'knp', 'gue', 'tau'];['fact', 'hobi', 'makan', 'bubur', 'tidak', 'diaduk', 'tapi', 'yoongi', 'makan', 'bubur', 'diaduk', 'jangan', 'tanya', 'mengapa', 'saya', 'tau'];['fact', 'hobi', 'makan', 'bubur', 'diaduk', 'yoongi', 'makan', 'bubur', 'diaduk', 'tau'];fact hobi makan bubur diaduk yoongi makan bubur diaduk tau;fact hobi makan bubur aduk yoongi makan bubur aduk tau
29;abis makan bubur trs kepikiran member bts tipe orang yg makan bubur diaduk atau gak ya? https://t.co/z6qw9ZhvmA;1;abis makan bubur trs kepikiran member bts tipe orang yg makan bubur diaduk atau gak ya coz6qw9zhvma;['abis', 'makan', 'bubur', 'trs', 'kepikiran', 'member', 'bts', 'tipe', 'orang', 'yg', 'makan', 'bubur', 'diaduk', 'atau', 'gak', 'ya', 'coz6qw9zhvma'];['setelah', 'makan', 'bubur', 'terus', 'kepikiran', 'member', 'bts', 'tipe', 'orang', 'yang', 'makan', 'bubur', 'diaduk', 'atau', 'tidak', 'ya', 'coz6qw9zhvma'];['makan', 'bubur', 'kepikiran', 'member', 'bts', 'tipe', 'orang', 'makan', 'bubur', 'diaduk', 'ya', 'coz6qw9zhvma'];makan bubur kepikiran member bts tipe orang makan bubur diaduk ya coz6qw9zhvma;makan bubur pikir member bts tipe orang makan bubur aduk ya coz6qw9zhvma
30;"@justloveten aduklah buburmu dik @ayy_wufU

BUBUR DIADUK FOR BETTER LIFE https://t.co/zTS8zYlE61";1;user aduklah buburmu dik user allcaps bubur diaduk for better life allcaps cozts8zyle61;['user', 'aduklah', 'buburmu', 'dik', 'user', 'allcaps', 'bubur', 'diaduk', 'for', 'better', 'life', 'allcaps', 'cozts8zyle61'];['user', 'aduklah', 'buburmu', 'dik', 'user', 'allcaps', 'bubur', 'diaduk', 'for', 'better', 'life', 'allcaps', 'cozts8zyle61'];['user', 'aduklah', 'buburmu', 'dik', 'user', 'allcaps', 'bubur', 'diaduk', 'for', 'better', 'life', 'allcaps', 'cozts8zyle61'];user aduklah buburmu dik user allcaps bubur diaduk for better life allcaps cozts8zyle61;user aduk bubur dik user allcaps bubur aduk for better life allcaps cozts8zyle61
31;@justloveten Gak ada yaa, pokoknya bubur itu gak diaduk âð»âð»;1;user gak ada yaa pokoknya bubur itu gak diaduk;['user', 'gak', 'ada', 'yaa', 'pokoknya', 'bubur', 'itu', 'gak', 'diaduk'];['user', 'tidak', 'ada', 'iya', 'pokoknya', 'bubur', 'itu', 'tidak', 'diaduk'];['user', 'iya', 'pokoknya', 'bubur', 'diaduk'];user iya pokoknya bubur diaduk;user iya pokok bubur aduk
32;"@justloveten Ada dong, kan waktu di sendok dikasih kuah nya
Pokoknya tim bubur gak diaduk âð»";1;user ada dong kan waktu di sendok dikasih kuah nya pokoknya tim bubur gak diaduk;['user', 'ada', 'dong', 'kan', 'waktu', 'di', 'sendok', 'dikasih', 'kuah', 'nya', 'pokoknya', 'tim', 'bubur', 'gak', 'diaduk'];['user', 'ada', 'dong', 'kan', 'waktu', 'di', 'sendok', 'dikasih', 'kuah', 'nya', 'pokoknya', 'tim', 'bubur', 'tidak', 'diaduk'];['user', 'sendok', 'dikasih', 'kuah', 'nya', 'pokoknya', 'tim', 'bubur', 'diaduk'];user sendok dikasih kuah nya pokoknya tim bubur diaduk;user sendok kasih kuah nya pokok tim bubur aduk
33;@paduka_oyen2 Bubur ga diaduk nih;1;user bubur ga diaduk nih;['user', 'bubur', 'ga', 'diaduk', 'nih'];['user', 'bubur', 'tidak', 'diaduk', 'ini'];['user', 'bubur', 'diaduk'];user bubur diaduk;user bubur aduk
34;@justloveten Kita beda sekte, bubur itu gak diaduk ðð»ðð»ðð»;1;user kita beda sekte bubur itu gak diaduk;['user', 'kita', 'beda', 'sekte', 'bubur', 'itu', 'gak', 'diaduk'];['user', 'kita', 'beda', 'sekte', 'bubur', 'itu', 'tidak', 'diaduk'];['user', 'beda', 'sekte', 'bubur', 'diaduk'];user beda sekte bubur diaduk;user beda sekte bubur aduk
35;@0rghil bubur emang harusnya ga diadukð¿;1;user bubur emang harusnya ga diaduk;['user', 'bubur', 'emang', 'harusnya', 'ga', 'diaduk'];['user', 'bubur', 'memang', 'harusnya', 'tidak', 'diaduk'];['user', 'bubur', 'diaduk'];user bubur diaduk;user bubur aduk
36;"klian mkan bubur diaduk/egk?

kl ak dh jls diadukð¥° https://t.co/MNnpJGURJE";1;klian mkan bubur diaduk egk kl ak dh jls diaduk comnnpjgurje;['klian', 'mkan', 'bubur', 'diaduk', 'egk', 'kl', 'ak', 'dh', 'jls', 'diaduk', 'comnnpjgurje'];['klian', 'makan', 'bubur', 'diaduk', 'egk', 'kalau', 'aku', 'sudah', 'jls', 'diaduk', 'comnnpjgurje'];['klian', 'makan', 'bubur', 'diaduk', 'egk', 'jls', 'diaduk', 'comnnpjgurje'];klian makan bubur diaduk egk jls diaduk comnnpjgurje;klian makan bubur aduk egk jls aduk comnnpjgurje
37;@anothersins__ makan bubur diaduk tuh kek makan muntah;0;user makan bubur diaduk tuh kek makan muntah;['user', 'makan', 'bubur', 'diaduk', 'tuh', 'kek', 'makan', 'muntah'];['user', 'makan', 'bubur', 'diaduk', 'itu', 'kayak', 'makan', 'muntah'];['user', 'makan', 'bubur', 'diaduk', 'kayak', 'makan', 'muntah'];user makan bubur diaduk kayak makan muntah;user makan bubur aduk kayak makan muntah
38;@mks_fess Orang macam apa yang makan bubur tidak diaduk? gak abis thinking ð¥²;0;user orang macam apa yang makan bubur tidak diaduk gak abis thinking;['user', 'orang', 'macam', 'apa', 'yang', 'makan', 'bubur', 'tidak', 'diaduk', 'gak', 'abis', 'thinking'];['user', 'orang', 'macam', 'apa', 'yang', 'makan', 'bubur', 'tidak', 'diaduk', 'tidak', 'setelah', 'thinking'];['user', 'orang', 'makan', 'bubur', 'diaduk', 'thinking'];user orang makan bubur diaduk thinking;user orang makan bubur aduk thinking
39;RT @MomoGembul: Jangankan bubur..mie goreng instan aj aku team gk diaduk koq ð https://t.co/f6gQcb1FhT;1;rt user jangankan bubur repeated mie goreng instan aj aku team gk diaduk koq cof6gqcb1fht;['rt', 'user', 'jangankan', 'bubur', 'repeated', 'mie', 'goreng', 'instan', 'aj', 'aku', 'team', 'gk', 'diaduk', 'koq', 'cof6gqcb1fht'];['rt', 'user', 'jangankan', 'bubur', 'repeated', 'mie', 'goreng', 'instan', 'saja', 'aku', 'team', 'tidak', 'diaduk', 'koq', 'cof6gqcb1fht'];['rt', 'user', 'bubur', 'repeated', 'mie', 'goreng', 'instan', 'team', 'diaduk', 'koq', 'cof6gqcb1fht'];rt user bubur repeated mie goreng instan team diaduk koq cof6gqcb1fht;rt user bubur repeated mie goreng instan team aduk koq cof6gqcb1fht
40;@reikaoningitis pernah ga makan bubur tapi diaduk;1;user pernah ga makan bubur tapi diaduk;['user', 'pernah', 'ga', 'makan', 'bubur', 'tapi', 'diaduk'];['user', 'pernah', 'tidak', 'makan', 'bubur', 'tapi', 'diaduk'];['user', 'makan', 'bubur', 'diaduk'];user makan bubur diaduk;user makan bubur aduk
41;RT @suami_tergoda: Gw sebagai tim bubur diaduk kok jadi bingung ya ð¤ https://t.co/WSU9lGVNdU;1;rt user gw sebagai tim bubur diaduk kok jadi bingung ya cowsu9lgvndu;['rt', 'user', 'gw', 'sebagai', 'tim', 'bubur', 'diaduk', 'kok', 'jadi', 'bingung', 'ya', 'cowsu9lgvndu'];['rt', 'user', 'saya', 'sebagai', 'tim', 'bubur', 'diaduk', 'kok', 'jadi', 'bingung', 'ya', 'cowsu9lgvndu'];['rt', 'user', 'tim', 'bubur', 'diaduk', 'bingung', 'ya', 'cowsu9lgvndu'];rt user tim bubur diaduk bingung ya cowsu9lgvndu;rt user tim bubur aduk bingung ya cowsu9lgvndu
42;@fafacu02 Mo diaduk ato engga sama aja sih ga ada preferensi khusus kl makan bubur;1;user mo diaduk ato engga sama aja sih ga ada preferensi khusus kl makan bubur;['user', 'mo', 'diaduk', 'ato', 'engga', 'sama', 'aja', 'sih', 'ga', 'ada', 'preferensi', 'khusus', 'kl', 'makan', 'bubur'];['user', 'mo', 'diaduk', 'ato', 'tidak', 'sama', 'saja', 'sih', 'tidak', 'ada', 'preferensi', 'khusus', 'kalau', 'makan', 'bubur'];['user', 'mo', 'diaduk', 'ato', 'sih', 'preferensi', 'khusus', 'makan', 'bubur'];user mo diaduk ato sih preferensi khusus makan bubur;user mo aduk ato sih preferensi khusus makan bubur
43;"@BTX_7911 Ga kefoto;"") soalnya berantakan tp klo makan bubur diaduk ko";1;user ga kefoto soalnya berantakan tp klo makan bubur diaduk ko;['user', 'ga', 'kefoto', 'soalnya', 'berantakan', 'tp', 'klo', 'makan', 'bubur', 'diaduk', 'ko'];['user', 'tidak', 'kefoto', 'soalnya', 'berantakan', 'tapi', 'kalau', 'makan', 'bubur', 'diaduk', 'ko'];['user', 'kefoto', 'berantakan', 'makan', 'bubur', 'diaduk', 'ko'];user kefoto berantakan makan bubur diaduk ko;user foto beranta makan bubur aduk ko
44;Tim bubur gak diaduk, karena perasaanku udah diaduk sama kamu~~ https://t.co/j91wv9lP51;0;tim bubur gak diaduk karena perasaanku udah diaduk sama kamu coj91wv9lp51;['tim', 'bubur', 'gak', 'diaduk', 'karena', 'perasaanku', 'udah', 'diaduk', 'sama', 'kamu', 'coj91wv9lp51'];['tim', 'bubur', 'tidak', 'diaduk', 'karena', 'perasaanku', 'sudah', 'diaduk', 'sama', 'kamu', 'coj91wv9lp51'];['tim', 'bubur', 'diaduk', 'perasaanku', 'diaduk', 'coj91wv9lp51'];tim bubur diaduk perasaanku diaduk coj91wv9lp51;tim bubur aduk asa aduk coj91wv9lp51
45;Emang pagi-pagi enaknya makan bubur diaduk;1;emang pagi pagi enaknya makan bubur diaduk;['emang', 'pagi', 'pagi', 'enaknya', 'makan', 'bubur', 'diaduk'];['memang', 'pagi', 'pagi', 'enaknya', 'makan', 'bubur', 'diaduk'];['pagi', 'pagi', 'enaknya', 'makan', 'bubur', 'diaduk'];pagi pagi enaknya makan bubur diaduk;pagi pagi enak makan bubur aduk
