Tweets;Text_tokens;Text_tokens_fdist;Text_tokens_WSW;Text_tokens_stemmed
purapura ga ada masalah ga membuat masalahnya selesai ada tetangga kdrt dan diabaikan ga bikin kekerasannya sel;['purapura', 'ga', 'ada', 'masalah', 'ga', 'membuat', 'masalahnya', 'selesai', 'ada', 'tetangga', 'kdrt', 'dan', 'diabaikan', 'ga', 'bikin', 'kekerasannya', 'sel'];<FreqDist with 14 samples and 17 outcomes>;['purapura', 'selesai', 'tetangga', 'kdrt', 'diabaikan', 'kekerasannya', 'sel'];['purapura', 'selesai', 'tetangga', 'kdrt', 'abai', 'keras', 'sel']
ada yang tidak bisa digantikan oleh obat cinta kasih sayang pertemuan kedekatan perhatian telinga yang mendengar hati yang terbuka;['ada', 'yang', 'tidak', 'bisa', 'digantikan', 'oleh', 'obat', 'cinta', 'kasih', 'sayang', 'pertemuan', 'kedekatan', 'perhatian', 'telinga', 'yang', 'mendengar', 'hati', 'yang', 'terbuka'];<FreqDist with 17 samples and 19 outcomes>;['digantikan', 'obat', 'cinta', 'kasih', 'sayang', 'pertemuan', 'kedekatan', 'perhatian', 'telinga', 'mendengar', 'hati', 'terbuka'];['ganti', 'obat', 'cinta', 'kasih', 'sayang', 'temu', 'dekat', 'perhati', 'telinga', 'dengar', 'hati', 'buka']
pengobatan dari psikiater tidak bisa mengkompensasi kurangnya kasih sayang us senate hearing kalimat;['pengobatan', 'dari', 'psikiater', 'tidak', 'bisa', 'mengkompensasi', 'kurangnya', 'kasih', 'sayang', 'us', 'senate', 'hearing', 'kalimat'];<FreqDist with 13 samples and 13 outcomes>;['pengobatan', 'psikiater', 'mengkompensasi', 'kurangnya', 'kasih', 'sayang', 'us', 'senate', 'hearing', 'kalimat'];['obat', 'psikiater', 'kompensasi', 'kurang', 'kasih', 'sayang', 'us', 'senate', 'hearing', 'kalimat']
kalo ikut tapi ga mau subscribe boleh ga kak;['kalo', 'ikut', 'tapi', 'ga', 'mau', 'subscribe', 'boleh', 'ga', 'kak'];<FreqDist with 8 samples and 9 outcomes>;['subscribe', 'kak'];['subscribe', 'kak']
rt its finally here minggu malem nganggur yuk gabung bahas quarter life crisis kamu boleh nanya sharing atau cuma deng;['rt', 'its', 'finally', 'here', 'minggu', 'malem', 'nganggur', 'yuk', 'gabung', 'bahas', 'quarter', 'life', 'crisis', 'kamu', 'boleh', 'nanya', 'sharing', 'atau', 'cuma', 'deng'];<FreqDist with 20 samples and 20 outcomes>;['its', 'finally', 'here', 'minggu', 'malem', 'nganggur', 'yuk', 'gabung', 'bahas', 'quarter', 'life', 'crisis', 'nanya', 'sharing', 'deng'];['its', 'finally', 'here', 'minggu', 'malem', 'nganggur', 'yuk', 'gabung', 'bahas', 'quarter', 'life', 'crisis', 'nanya', 'sharing', 'deng']
mas tapi aku ya ga bisa sabar kalo satu hal ini mau dipikir sabar juga ga sanggup dan menurutku ;['mas', 'tapi', 'aku', 'ya', 'ga', 'bisa', 'sabar', 'kalo', 'satu', 'hal', 'ini', 'mau', 'dipikir', 'sabar', 'juga', 'ga', 'sanggup', 'dan', 'menurutku'];<FreqDist with 17 samples and 19 outcomes>;['mas', 'sabar', 'dipikir', 'sabar', 'sanggup', 'menurutku'];['mas', 'sabar', 'pikir', 'sabar', 'sanggup', 'turut']
iya gapapa banget kalo cocoknya emang sendiri;['iya', 'gapapa', 'banget', 'kalo', 'cocoknya', 'emang', 'sendiri'];<FreqDist with 7 samples and 7 outcomes>;['iya', 'gapapa', 'banget', 'cocoknya', 'emang'];['iya', 'gapapa', 'banget', 'cocok', 'emang']
gimana sik kalo pagi katanya masih pagi kalo sore jadi masih sore kalo malem jadi udah malem ;['gimana', 'sik', 'kalo', 'pagi', 'katanya', 'masih', 'pagi', 'kalo', 'sore', 'jadi', 'masih', 'sore', 'kalo', 'malem', 'jadi', 'udah', 'malem'];<FreqDist with 10 samples and 17 outcomes>;['gimana', 'sik', 'pagi', 'pagi', 'sore', 'sore', 'malem', 'udah', 'malem'];['gimana', 'sik', 'pagi', 'pagi', 'sore', 'sore', 'malem', 'udah', 'malem']
bisa jadi ya persiapan kehidupan setelah pernikahan bukan sekedar persiapan resepsi;['bisa', 'jadi', 'ya', 'persiapan', 'kehidupan', 'setelah', 'pernikahan', 'bukan', 'sekedar', 'persiapan', 'resepsi'];<FreqDist with 10 samples and 11 outcomes>;['persiapan', 'kehidupan', 'pernikahan', 'sekedar', 'persiapan', 'resepsi'];['siap', 'hidup', 'nikah', 'dar', 'siap', 'resepsi']
bener juga ya pernikahan akan beriringan dengan problem yang baru tidak menikah punya problemnya menikah punya problemnya;['bener', 'juga', 'ya', 'pernikahan', 'akan', 'beriringan', 'dengan', 'problem', 'yang', 'baru', 'tidak', 'menikah', 'punya', 'problemnya', 'menikah', 'punya', 'problemnya'];<FreqDist with 14 samples and 17 outcomes>;['bener', 'pernikahan', 'beriringan', 'problem', 'menikah', 'problemnya', 'menikah', 'problemnya'];['bener', 'nikah', 'iring', 'problem', 'meni', 'problem', 'meni', 'problem']
atau orang memang tidak disiapkan diberi model untuk berhubungan sehat tapi langsung disuruh nikah;['atau', 'orang', 'memang', 'tidak', 'disiapkan', 'diberi', 'model', 'untuk', 'berhubungan', 'sehat', 'tapi', 'langsung', 'disuruh', 'nikah'];<FreqDist with 14 samples and 14 outcomes>;['orang', 'disiapkan', 'model', 'berhubungan', 'sehat', 'langsung', 'disuruh', 'nikah'];['orang', 'siap', 'model', 'hubung', 'sehat', 'langsung', 'suruh', 'nikah']
atau bisa jadi juga angka perceraian adalah masalah karena kita tidak menemukan resolusi konflik dalam hubungan wa;['atau', 'bisa', 'jadi', 'juga', 'angka', 'perceraian', 'adalah', 'masalah', 'karena', 'kita', 'tidak', 'menemukan', 'resolusi', 'konflik', 'dalam', 'hubungan', 'wa'];<FreqDist with 17 samples and 17 outcomes>;['angka', 'perceraian', 'menemukan', 'resolusi', 'konflik', 'hubungan', 'wa'];['angka', 'cerai', 'temu', 'resolusi', 'konflik', 'hubung', 'wa']
karna beberapa kali saya menemukan orang yang tidak bisa bercerai karna alasan finansial tuntutan keluarga besar;['karna', 'beberapa', 'kali', 'saya', 'menemukan', 'orang', 'yang', 'tidak', 'bisa', 'bercerai', 'karna', 'alasan', 'finansial', 'tuntutan', 'keluarga', 'besar'];<FreqDist with 15 samples and 16 outcomes>;['karna', 'kali', 'menemukan', 'orang', 'bercerai', 'karna', 'alasan', 'finansial', 'tuntutan', 'keluarga'];['karna', 'kali', 'temu', 'orang', 'cerai', 'karna', 'alas', 'finansial', 'tuntut', 'keluarga']
sebenernya baca berita kaya gini tu saya mikir apakah meningkatnya angka perceraian adalah masalah atau ini;['sebenernya', 'baca', 'berita', 'kaya', 'gini', 'tu', 'saya', 'mikir', 'apakah', 'meningkatnya', 'angka', 'perceraian', 'adalah', 'masalah', 'atau', 'ini'];<FreqDist with 16 samples and 16 outcomes>;['sebenernya', 'baca', 'berita', 'kaya', 'gini', 'tu', 'mikir', 'meningkatnya', 'angka', 'perceraian'];['sebenernya', 'baca', 'berita', 'kaya', 'gin', 'tu', 'mikir', 'tingkat', 'angka', 'cerai']
woi mas adjie cuma nanya kenapa anda mengasumsikan itu memecah belah anda sedang menuduh;['woi', 'mas', 'adjie', 'cuma', 'nanya', 'kenapa', 'anda', 'mengasumsikan', 'itu', 'memecah', 'belah', 'anda', 'sedang', 'menuduh'];<FreqDist with 13 samples and 14 outcomes>;['woi', 'mas', 'adjie', 'nanya', 'mengasumsikan', 'memecah', 'belah', 'menuduh'];['woi', 'mas', 'adjie', 'nanya', 'asumsi', 'pecah', 'belah', 'tuduh']
your content must be coming from your trauma;['your', 'content', 'must', 'be', 'coming', 'from', 'your', 'trauma'];<FreqDist with 7 samples and 8 outcomes>;['your', 'content', 'must', 'be', 'coming', 'from', 'your', 'trauma'];['your', 'content', 'must', 'be', 'coming', 'from', 'your', 'trauma']
rehan;['rehan'];<FreqDist with 1 samples and 1 outcomes>;['rehan'];['rehan']
introvert tidak menyebabkan logical fallacy;['introvert', 'tidak', 'menyebabkan', 'logical', 'fallacy'];<FreqDist with 5 samples and 5 outcomes>;['introvert', 'menyebabkan', 'logical', 'fallacy'];['introvert', 'sebab', 'logical', 'fallacy']
maulida bisa jadi tentang cemas depresi atau bisa jadi bukan tentang gangguan jiwa mungkin sekedar kebiasaan;['maulida', 'bisa', 'jadi', 'tentang', 'cemas', 'depresi', 'atau', 'bisa', 'jadi', 'bukan', 'tentang', 'gangguan', 'jiwa', 'mungkin', 'sekedar', 'kebiasaan'];<FreqDist with 13 samples and 16 outcomes>;['maulida', 'cemas', 'depresi', 'gangguan', 'jiwa', 'sekedar', 'kebiasaan'];['maulida', 'cemas', 'depresi', 'ganggu', 'jiwa', 'dar', 'biasa']
nah persis sebagian mungkin terjadi sebagiannya tidak dan akan selalu seperti ini dapatkah kita melih;['nah', 'persis', 'sebagian', 'mungkin', 'terjadi', 'sebagiannya', 'tidak', 'dan', 'akan', 'selalu', 'seperti', 'ini', 'dapatkah', 'kita', 'melih'];<FreqDist with 15 samples and 15 outcomes>;['persis', 'sebagiannya', 'dapatkah', 'melih'];['persis', 'bagi', 'dapat', 'melih']
jadi lo bales chat lama tu gara gara foto foto dulu oke baiklah;['jadi', 'lo', 'bales', 'chat', 'lama', 'tu', 'gara', 'gara', 'foto', 'foto', 'dulu', 'oke', 'baiklah'];<FreqDist with 11 samples and 13 outcomes>;['lo', 'bales', 'chat', 'tu', 'gara', 'gara', 'foto', 'foto', 'oke', 'baiklah'];['lo', 'bales', 'chat', 'tu', 'gara', 'gara', 'foto', 'foto', 'oke', 'baik']
begitulah;['begitulah'];<FreqDist with 1 samples and 1 outcomes>;[];[]
ngaco ini lagi mas;['ngaco', 'ini', 'lagi', 'mas'];<FreqDist with 4 samples and 4 outcomes>;['ngaco', 'mas'];['ngaco', 'mas']
atina artinya begitu sulit lupakan rehan;['atina', 'artinya', 'begitu', 'sulit', 'lupakan', 'rehan'];<FreqDist with 6 samples and 6 outcomes>;['atina', 'sulit', 'lupakan', 'rehan'];['atina', 'sulit', 'lupa', 'rehan']
menjadi gelisah karna tidak bisa mengusir lagu dari pikiran;['menjadi', 'gelisah', 'karna', 'tidak', 'bisa', 'mengusir', 'lagu', 'dari', 'pikiran'];<FreqDist with 9 samples and 9 outcomes>;['gelisah', 'karna', 'mengusir', 'lagu', 'pikiran'];['gelisah', 'karna', 'usir', 'lagu', 'pikir']
no ga tau lebih baik plis ga tau aja;['no', 'ga', 'tau', 'lebih', 'baik', 'plis', 'ga', 'tau', 'aja'];<FreqDist with 7 samples and 9 outcomes>;['no', 'plis'];['no', 'plis']
kaget;['kaget'];<FreqDist with 1 samples and 1 outcomes>;['kaget'];['kaget']
ak mungkin waktunya konsul cuy gue konsul;['ak', 'mungkin', 'waktunya', 'konsul', 'cuy', 'gue', 'konsul'];<FreqDist with 6 samples and 7 outcomes>;['ak', 'konsul', 'cuy', 'gue', 'konsul'];['ak', 'konsul', 'cuy', 'gue', 'konsul']
anjir udah berhari hari ini lagu ga ilang dari kepala;['anjir', 'udah', 'berhari', 'hari', 'ini', 'lagu', 'ga', 'ilang', 'dari', 'kepala'];<FreqDist with 10 samples and 10 outcomes>;['anjir', 'udah', 'berhari', 'lagu', 'ilang', 'kepala'];['anjir', 'udah', 'hari', 'lagu', 'ilang', 'kepala']
begitu sulit lupakan rehan apalagi rehan baik;['begitu', 'sulit', 'lupakan', 'rehan', 'apalagi', 'rehan', 'baik'];<FreqDist with 6 samples and 7 outcomes>;['sulit', 'lupakan', 'rehan', 'rehan'];['sulit', 'lupa', 'rehan', 'rehan']
tepat sekali;['tepat', 'sekali'];<FreqDist with 2 samples and 2 outcomes>;[];[]
lebih penting berpikir akurat berpikir adaptif berpikir seimbang ketimbang sekedar berpikir positif karna reali;['lebih', 'penting', 'berpikir', 'akurat', 'berpikir', 'adaptif', 'berpikir', 'seimbang', 'ketimbang', 'sekedar', 'berpikir', 'positif', 'karna', 'reali'];<FreqDist with 11 samples and 14 outcomes>;['berpikir', 'akurat', 'berpikir', 'adaptif', 'berpikir', 'seimbang', 'ketimbang', 'sekedar', 'berpikir', 'positif', 'karna', 'reali'];['pikir', 'akurat', 'pikir', 'adaptif', 'pikir', 'imbang', 'ketimbang', 'dar', 'pikir', 'positif', 'karna', 'real']
tidak semua pikiran positif itu baik misalnya mikir positif bahwa seseorang sebenarnya baik padahal kerjaannya mai;['tidak', 'semua', 'pikiran', 'positif', 'itu', 'baik', 'misalnya', 'mikir', 'positif', 'bahwa', 'seseorang', 'sebenarnya', 'baik', 'padahal', 'kerjaannya', 'mai'];<FreqDist with 14 samples and 16 outcomes>;['pikiran', 'positif', 'mikir', 'positif', 'kerjaannya', 'mai'];['pikir', 'positif', 'mikir', 'positif', 'kerja', 'mai']
;[];<FreqDist with 0 samples and 0 outcomes>;[];[]
nah cakep marah boleh aja tapi tindakan kekerasannya ya nanti dulu;['nah', 'cakep', 'marah', 'boleh', 'aja', 'tapi', 'tindakan', 'kekerasannya', 'ya', 'nanti', 'dulu'];<FreqDist with 11 samples and 11 outcomes>;['cakep', 'marah', 'tindakan', 'kekerasannya'];['cakep', 'marah', 'tindak', 'keras']
perasaanmu valid tapi bukan berarti tindakan akibat perasaanmu selalu valid perasaan tidak membenarkan perilaku;['perasaanmu', 'valid', 'tapi', 'bukan', 'berarti', 'tindakan', 'akibat', 'perasaanmu', 'selalu', 'valid', 'perasaan', 'tidak', 'membenarkan', 'perilaku'];<FreqDist with 12 samples and 14 outcomes>;['perasaanmu', 'valid', 'tindakan', 'akibat', 'perasaanmu', 'valid', 'perasaan', 'membenarkan', 'perilaku'];['asa', 'valid', 'tindak', 'akibat', 'asa', 'valid', 'asa', 'benar', 'perilaku']
teh tawar anget for lyfe;['teh', 'tawar', 'anget', 'for', 'lyfe'];<FreqDist with 5 samples and 5 outcomes>;['teh', 'tawar', 'anget', 'for', 'lyfe'];['teh', 'tawar', 'anget', 'for', 'lyfe']
antara cold turkey kita hilangkan langsung tapi ini ga nyaman sekali rasanya atau secara terukur ber;['antara', 'cold', 'turkey', 'kita', 'hilangkan', 'langsung', 'tapi', 'ini', 'ga', 'nyaman', 'sekali', 'rasanya', 'atau', 'secara', 'terukur', 'ber'];<FreqDist with 16 samples and 16 outcomes>;['cold', 'turkey', 'hilangkan', 'langsung', 'nyaman', 'terukur', 'ber'];['cold', 'turkey', 'hilang', 'langsung', 'nyaman', 'ukur', 'ber']
problem nya di awal memakan gula banyak rasanya mungkin energi meningkat perasaan tambah nyaman tapi ini hanya ;['problem', 'nya', 'di', 'awal', 'memakan', 'gula', 'banyak', 'rasanya', 'mungkin', 'energi', 'meningkat', 'perasaan', 'tambah', 'nyaman', 'tapi', 'ini', 'hanya'];<FreqDist with 17 samples and 17 outcomes>;['problem', 'memakan', 'gula', 'energi', 'meningkat', 'perasaan', 'nyaman'];['problem', 'makan', 'gula', 'energi', 'tingkat', 'asa', 'nyaman']
gula yang terlalu banyak juga mengganggu seseorang dalam menghadapi stres stressor yang awalnya mungkin bisa ditol;['gula', 'yang', 'terlalu', 'banyak', 'juga', 'mengganggu', 'seseorang', 'dalam', 'menghadapi', 'stres', 'stressor', 'yang', 'awalnya', 'mungkin', 'bisa', 'ditol'];<FreqDist with 15 samples and 16 outcomes>;['gula', 'mengganggu', 'menghadapi', 'stres', 'stressor', 'ditol'];['gula', 'ganggu', 'hadap', 'stres', 'stressor', 'tol']
diet tinggi gula meningkatkan kemungkinan terjadinya gangguan mood pada pria dan wanita penelitian tahun mene;['diet', 'tinggi', 'gula', 'meningkatkan', 'kemungkinan', 'terjadinya', 'gangguan', 'mood', 'pada', 'pria', 'dan', 'wanita', 'penelitian', 'tahun', 'mene'];<FreqDist with 15 samples and 15 outcomes>;['diet', 'gula', 'meningkatkan', 'gangguan', 'mood', 'pria', 'wanita', 'penelitian', 'mene'];['diet', 'gula', 'tingkat', 'ganggu', 'mood', 'pria', 'wanita', 'teliti', 'mene']
ngomongin minum yang manismanis sebenarnya minuman manis nggak buat perasaan lebih baik lho mungkin di awal ras;['ngomongin', 'minum', 'yang', 'manismanis', 'sebenarnya', 'minuman', 'manis', 'nggak', 'buat', 'perasaan', 'lebih', 'baik', 'lho', 'mungkin', 'di', 'awal', 'ras'];<FreqDist with 17 samples and 17 outcomes>;['ngomongin', 'minum', 'manismanis', 'minuman', 'manis', 'nggak', 'perasaan', 'lho', 'ras'];['ngomongin', 'minum', 'manismanis', 'minum', 'manis', 'nggak', 'asa', 'lho', 'ras']
jantung pisang;['jantung', 'pisang'];<FreqDist with 2 samples and 2 outcomes>;['jantung', 'pisang'];['jantung', 'pisang']
mas nek pas cilikanmu dolanan atari ojo sok sok ora mudeng;['mas', 'nek', 'pas', 'cilikanmu', 'dolanan', 'atari', 'ojo', 'sok', 'sok', 'ora', 'mudeng'];<FreqDist with 10 samples and 11 outcomes>;['mas', 'nek', 'pas', 'cilikanmu', 'dolanan', 'atari', 'ojo', 'sok', 'sok', 'ora', 'mudeng'];['mas', 'nek', 'pas', 'cili', 'dolan', 'atar', 'ojo', 'sok', 'sok', 'ora', 'mudeng']
ada ga si yang selalu ngasi kesempatan ke orang lain tapi orangnya tetap ngulangin kesalahan yang sama tapi kamu;['ada', 'ga', 'si', 'yang', 'selalu', 'ngasi', 'kesempatan', 'ke', 'orang', 'lain', 'tapi', 'orangnya', 'tetap', 'ngulangin', 'kesalahan', 'yang', 'sama', 'tapi', 'kamu'];<FreqDist with 17 samples and 19 outcomes>;['ngasi', 'kesempatan', 'orang', 'orangnya', 'ngulangin', 'kesalahan'];['ngasi', 'sempat', 'orang', 'orang', 'ngulangin', 'salah']
mungkin semua orang perlu mendapatkan kesempatan kedua tapi mungkin beda cerita kalo minta kesempatan ke kalinya;['mungkin', 'semua', 'orang', 'perlu', 'mendapatkan', 'kesempatan', 'kedua', 'tapi', 'mungkin', 'beda', 'cerita', 'kalo', 'minta', 'kesempatan', 'ke', 'kalinya'];<FreqDist with 14 samples and 16 outcomes>;['orang', 'kesempatan', 'beda', 'cerita', 'kesempatan', 'kalinya'];['orang', 'sempat', 'beda', 'cerita', 'sempat', 'kali']
kotaro minami akan kembali di layar kaca tahun dok;['kotaro', 'minami', 'akan', 'kembali', 'di', 'layar', 'kaca', 'tahun', 'dok'];<FreqDist with 9 samples and 9 outcomes>;['kotaro', 'minami', 'layar', 'kaca', 'dok'];['kotaro', 'mam', 'layar', 'kaca', 'dok']
;[];<FreqDist with 0 samples and 0 outcomes>;[];[]
ngomongin shadow organization saya juga mau komentar shadow dikirim oleh organization gorgom untuk mengalahkan ko;['ngomongin', 'shadow', 'organization', 'saya', 'juga', 'mau', 'komentar', 'shadow', 'dikirim', 'oleh', 'organization', 'gorgom', 'untuk', 'mengalahkan', 'ko'];<FreqDist with 13 samples and 15 outcomes>;['ngomongin', 'shadow', 'organization', 'komentar', 'shadow', 'dikirim', 'organization', 'gorgom', 'mengalahkan', 'ko'];['ngomongin', 'shadow', 'organization', 'komentar', 'shadow', 'kirim', 'organization', 'gorgom', 'kalah', 'ko']
yang kanan kaya mau ngajarin jurus kungfu;['yang', 'kanan', 'kaya', 'mau', 'ngajarin', 'jurus', 'kungfu'];<FreqDist with 7 samples and 7 outcomes>;['kanan', 'kaya', 'ngajarin', 'jurus', 'kungfu'];['kanan', 'kaya', 'ngajarin', 'jurus', 'kungfu']
bagi beberapa orang sulit untuk melihat bahwa diri sendiri juga berperan dalam rasa tidak nyaman yg terjadi sulit;['bagi', 'beberapa', 'orang', 'sulit', 'untuk', 'melihat', 'bahwa', 'diri', 'sendiri', 'juga', 'berperan', 'dalam', 'rasa', 'tidak', 'nyaman', 'yg', 'terjadi', 'sulit'];<FreqDist with 17 samples and 18 outcomes>;['orang', 'sulit', 'berperan', 'nyaman', 'sulit'];['orang', 'sulit', 'peran', 'nyaman', 'sulit']
kegagalan adalah kesuksesan yang ga sukses;['kegagalan', 'adalah', 'kesuksesan', 'yang', 'ga', 'sukses'];<FreqDist with 6 samples and 6 outcomes>;['kegagalan', 'kesuksesan', 'sukses'];['gagal', 'sukses', 'sukses']
rt respondent needed klik tautan berikut untuk berpartisipasi bagi partisipan yang beruntung akan;['rt', 'respondent', 'needed', 'klik', 'tautan', 'berikut', 'untuk', 'berpartisipasi', 'bagi', 'partisipan', 'yang', 'beruntung', 'akan'];<FreqDist with 13 samples and 13 outcomes>;['respondent', 'needed', 'klik', 'tautan', 'berpartisipasi', 'partisipan', 'beruntung'];['respondent', 'needed', 'klik', 'taut', 'partisipasi', 'partisipan', 'untung']
rt setiap manusia ingin menjaga kenyamanan dan ketenangan dalam hidupnya ketika ada situasi yang mengancam kondisi ini kita;['rt', 'setiap', 'manusia', 'ingin', 'menjaga', 'kenyamanan', 'dan', 'ketenangan', 'dalam', 'hidupnya', 'ketika', 'ada', 'situasi', 'yang', 'mengancam', 'kondisi', 'ini', 'kita'];<FreqDist with 18 samples and 18 outcomes>;['manusia', 'menjaga', 'kenyamanan', 'ketenangan', 'hidupnya', 'situasi', 'mengancam', 'kondisi'];['manusia', 'jaga', 'nyaman', 'tenang', 'hidup', 'situasi', 'ancam', 'kondisi']
rt hai kamu tertarik untuk membantu meningkatkan layanan kesehatan mental di indonesia mari bergabung bersama esteem pro;['rt', 'hai', 'kamu', 'tertarik', 'untuk', 'membantu', 'meningkatkan', 'layanan', 'kesehatan', 'mental', 'di', 'indonesia', 'mari', 'bergabung', 'bersama', 'esteem', 'pro'];<FreqDist with 17 samples and 17 outcomes>;['hai', 'tertarik', 'membantu', 'meningkatkan', 'layanan', 'kesehatan', 'mental', 'indonesia', 'mari', 'bergabung', 'esteem', 'pro'];['hai', 'tarik', 'bantu', 'tingkat', 'layan', 'sehat', 'mental', 'indonesia', 'mari', 'gabung', 'esteem', 'pro']
ini salah satu yang sering bikin konflik rumah tangga salah satu menganggap pasangannya nggak lebih capek susah;['ini', 'salah', 'satu', 'yang', 'sering', 'bikin', 'konflik', 'rumah', 'tangga', 'salah', 'satu', 'menganggap', 'pasangannya', 'nggak', 'lebih', 'capek', 'susah'];<FreqDist with 15 samples and 17 outcomes>;['salah', 'konflik', 'rumah', 'tangga', 'salah', 'menganggap', 'pasangannya', 'nggak', 'capek', 'susah'];['salah', 'konflik', 'rumah', 'tangga', 'salah', 'anggap', 'pasang', 'nggak', 'capek', 'susah']
rt seberat apapun hari yang kamu jalanihidupmu berharga percaya kalau aku layak bahagia tanpa syarat aku berharga;['rt', 'seberat', 'apapun', 'hari', 'yang', 'kamu', 'jalanihidupmu', 'berharga', 'percaya', 'kalau', 'aku', 'layak', 'bahagia', 'tanpa', 'syarat', 'aku', 'berharga'];<FreqDist with 15 samples and 17 outcomes>;['seberat', 'apapun', 'jalanihidupmu', 'berharga', 'percaya', 'layak', 'bahagia', 'syarat', 'berharga'];['berat', 'apa', 'jalanihidupmu', 'harga', 'percaya', 'layak', 'bahagia', 'syarat', 'harga']
