;Tweets;Label;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
11;Pemerintah melalui Kementerian Perindustrian berencana memberikan subsidi kendaraan listrik listrik sebesar Rp80 juâ¦ https://t.co/9L6Isufx6m;1;pemerintah melalui kementerian perindustrian berencana memberikan subsidi kendaraan listrik listrik sebesar rp80 ju co9l6isufx6m;['pemerintah', 'melalui', 'kementerian', 'perindustrian', 'berencana', 'memberikan', 'subsidi', 'kendaraan', 'listrik', 'listrik', 'sebesar', 'rp80', 'ju', 'co9l6isufx6m'];['pemerintah', 'melalui', 'kementerian', 'perindustrian', 'berencana', 'memberikan', 'subsidi', 'kendaraan', 'listrik', 'listrik', 'sebesar', 'rp80', 'ju', 'co9l6isufx6m'];['pemerintah', 'kementerian', 'perindustrian', 'berencana', 'subsidi', 'kendaraan', 'listrik', 'listrik', 'rp80', 'ju', 'co9l6isufx6m'];pemerintah kementerian perindustrian berencana subsidi kendaraan listrik listrik rp80 ju co9l6isufx6m;perintah menteri industri rencana subsidi kendara listrik listrik rp80 ju co9l6isufx6m
12;Toyota Bicara Soal Subsidi Mobil Listrik Rp80 Juta: Lebih Cepat Lebih Baik https://t.co/qdq1n4tjb4;1;toyota bicara soal subsidi mobil listrik rp80 juta lebih cepat lebih baik coqdq1n4tjb4;['toyota', 'bicara', 'soal', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'lebih', 'cepat', 'lebih', 'baik', 'coqdq1n4tjb4'];['toyota', 'bicara', 'soal', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'lebih', 'cepat', 'lebih', 'baik', 'coqdq1n4tjb4'];['toyota', 'bicara', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'cepat', 'coqdq1n4tjb4'];toyota bicara subsidi mobil listrik rp80 juta cepat coqdq1n4tjb4;toyota bicara subsidi mobil listrik rp80 juta cepat coqdq1n4tjb4
13;RT @100kpjcom: Dapat Subsidi Rp80 Juta, Kapan Mobil Listrik Honda Dijual di RI https://t.co/BHwkfVue8X;1;rt user dapat subsidi rp80 juta kapan mobil listrik honda dijual di ri cobhwkfvue8x;['rt', 'user', 'dapat', 'subsidi', 'rp80', 'juta', 'kapan', 'mobil', 'listrik', 'honda', 'dijual', 'di', 'ri', 'cobhwkfvue8x'];['rt', 'user', 'dapat', 'subsidi', 'rp80', 'juta', 'kapan', 'mobil', 'listrik', 'honda', 'dijual', 'di', 'di', 'cobhwkfvue8x'];['rt', 'user', 'subsidi', 'rp80', 'juta', 'mobil', 'listrik', 'honda', 'dijual', 'cobhwkfvue8x'];rt user subsidi rp80 juta mobil listrik honda dijual cobhwkfvue8x;rt user subsidi rp80 juta mobil listrik honda jual cobhwkfvue8x
14;RT @CNNIndonesia: Gembar-gembor subsidi kendaraan listrik di Indonesia semakin santer. Di tengah wacana itu, banyak sorotan tertuju ke sejuâ¦;0;rt user gembar gembor subsidi kendaraan listrik di indonesia semakin santer di tengah wacana itu banyak sorotan tertuju ke seju;['rt', 'user', 'gembar', 'gembor', 'subsidi', 'kendaraan', 'listrik', 'di', 'indonesia', 'semakin', 'santer', 'di', 'tengah', 'wacana', 'itu', 'banyak', 'sorotan', 'tertuju', 'ke', 'seju'];['rt', 'user', 'gembar', 'gembor', 'subsidi', 'kendaraan', 'listrik', 'di', 'indonesia', 'semakin', 'santer', 'di', 'tengah', 'wacana', 'itu', 'banyak', 'sorotan', 'tertuju', 'ke', 'seju'];['rt', 'user', 'gembar', 'gembor', 'subsidi', 'kendaraan', 'listrik', 'indonesia', 'santer', 'wacana', 'sorotan', 'seju'];rt user gembar gembor subsidi kendaraan listrik indonesia santer wacana sorotan seju;rt user gembar gembor subsidi kendara listrik indonesia santer wacana sorot seju
15;RT @detikcom: Rencananya subsidi untuk mobil listrik adalah Rp80 juta, sedangkan mobil berbasis hybrid subsidinya Rp40 juta. Lalu, apakah aâ¦;1;rt user rencananya subsidi untuk mobil listrik adalah rp80 juta sedangkan mobil berbasis hybrid subsidinya rp40 juta lalu apakah;['rt', 'user', 'rencananya', 'subsidi', 'untuk', 'mobil', 'listrik', 'adalah', 'rp80', 'juta', 'sedangkan', 'mobil', 'berbasis', 'hybrid', 'subsidinya', 'rp40', 'juta', 'lalu', 'apakah'];['rt', 'user', 'rencananya', 'subsidi', 'untuk', 'mobil', 'listrik', 'adalah', 'rp80', 'juta', 'sedangkan', 'mobil', 'berbasis', 'hybrid', 'subsidinya', 'rp40', 'juta', 'lalu', 'apakah'];['rt', 'user', 'rencananya', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'mobil', 'berbasis', 'hybrid', 'subsidinya', 'rp40', 'juta'];rt user rencananya subsidi mobil listrik rp80 juta mobil berbasis hybrid subsidinya rp40 juta;rt user rencana subsidi mobil listrik rp80 juta mobil bas hybrid subsidi rp40 juta
16;RT @CNNIndonesia: DPR Pertanyakan Subsidi Mobil Listrik Rp80 Juta https://t.co/8XZ8iLZ5f0;0;rt user allcaps dpr allcaps pertanyakan subsidi mobil listrik rp80 juta co8xz8ilz5f0;['rt', 'user', 'allcaps', 'dpr', 'allcaps', 'pertanyakan', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'co8xz8ilz5f0'];['rt', 'user', 'allcaps', 'dpr', 'allcaps', 'pertanyakan', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'co8xz8ilz5f0'];['rt', 'user', 'allcaps', 'dpr', 'allcaps', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'co8xz8ilz5f0'];rt user allcaps dpr allcaps subsidi mobil listrik rp80 juta co8xz8ilz5f0;rt user allcaps dpr allcaps subsidi mobil listrik rp80 juta co8xz8ilz5f0
17;RT @basoamir: Subsidi BBM dicabut, kata Presiden @jokowi, karena 70% dinikmati masyarakat mampu. Sekarang, pembeli mobil listrik akan mempeâ¦;1;rt user subsidi allcaps bbm allcaps dicabut kata presiden user karena percent dinikmati masyarakat mampu sekarang pembeli mobil listrik akan mempe;['rt', 'user', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'dicabut', 'kata', 'presiden', 'user', 'karena', 'percent', 'dinikmati', 'masyarakat', 'mampu', 'sekarang', 'pembeli', 'mobil', 'listrik', 'akan', 'mempe'];['rt', 'user', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'dicabut', 'kata', 'presiden', 'user', 'karena', 'percent', 'dinikmati', 'masyarakat', 'mampu', 'sekarang', 'pembeli', 'mobil', 'listrik', 'akan', 'mempe'];['rt', 'user', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'dicabut', 'presiden', 'user', 'percent', 'dinikmati', 'masyarakat', 'pembeli', 'mobil', 'listrik', 'mempe'];rt user subsidi allcaps bbm allcaps dicabut presiden user percent dinikmati masyarakat pembeli mobil listrik mempe;rt user subsidi allcaps bbm allcaps cabut presiden user percent nikmat masyarakat beli mobil listrik mempe
18;Inikah yg mengarah kepada konflik Kepentingan dilevel tertinggi sebuah negara ? https://t.co/L4DtgQAFV4;0;inikah yg mengarah kepada konflik kepentingan dilevel tertinggi sebuah negara col4dtgqafv4;['inikah', 'yg', 'mengarah', 'kepada', 'konflik', 'kepentingan', 'dilevel', 'tertinggi', 'sebuah', 'negara', 'col4dtgqafv4'];['inikah', 'yang', 'mengarah', 'kepada', 'konflik', 'kepentingan', 'dilevel', 'tertinggi', 'sebuah', 'negara', 'col4dtgqafv4'];['mengarah', 'konflik', 'kepentingan', 'dilevel', 'tertinggi', 'negara', 'col4dtgqafv4'];mengarah konflik kepentingan dilevel tertinggi negara col4dtgqafv4;arah konflik penting level tinggi negara col4dtgqafv4
19;"Mereka yang bisa beli mobil/motor listrik niscaya bukan orang miskin. HARUSKAH DISUBSIDI?

https://t.co/dGQs9FJD1A";0;mereka yang bisa beli mobil motor listrik niscaya bukan orang miskin allcaps haruskah disubsidi allcaps codgqs9fjd1a;['mereka', 'yang', 'bisa', 'beli', 'mobil', 'motor', 'listrik', 'niscaya', 'bukan', 'orang', 'miskin', 'allcaps', 'haruskah', 'disubsidi', 'allcaps', 'codgqs9fjd1a'];['mereka', 'yang', 'bisa', 'beli', 'mobil', 'motor', 'listrik', 'niscaya', 'bukan', 'orang', 'miskin', 'allcaps', 'haruskah', 'disubsidi', 'allcaps', 'codgqs9fjd1a'];['beli', 'mobil', 'motor', 'listrik', 'niscaya', 'orang', 'miskin', 'allcaps', 'haruskah', 'disubsidi', 'allcaps', 'codgqs9fjd1a'];beli mobil motor listrik niscaya orang miskin allcaps haruskah disubsidi allcaps codgqs9fjd1a;beli mobil motor listrik niscaya orang miskin allcaps harus subsidi allcaps codgqs9fjd1a
20;Membengkak! Usulan Subsidi Mobil Listrik Bukan Rp80 Juta https://t.co/DjDtc0cDUH;0;membengkak usulan subsidi mobil listrik bukan rp80 juta codjdtc0cduh;['membengkak', 'usulan', 'subsidi', 'mobil', 'listrik', 'bukan', 'rp80', 'juta', 'codjdtc0cduh'];['membengkak', 'usulan', 'subsidi', 'mobil', 'listrik', 'bukan', 'rp80', 'juta', 'codjdtc0cduh'];['membengkak', 'usulan', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'codjdtc0cduh'];membengkak usulan subsidi mobil listrik rp80 juta codjdtc0cduh;bengkak usul subsidi mobil listrik rp80 juta codjdtc0cduh
21;Banggar DPR Tegaskan, Subsidi Rp80 Juta untuk Beli Mobil Listrik tak Masuk Akal! https://t.co/HXLGrAQKcP;0;banggar allcaps dpr allcaps tegaskan subsidi rp80 juta untuk beli mobil listrik tak masuk akal cohxlgraqkcp;['banggar', 'allcaps', 'dpr', 'allcaps', 'tegaskan', 'subsidi', 'rp80', 'juta', 'untuk', 'beli', 'mobil', 'listrik', 'tak', 'masuk', 'akal', 'cohxlgraqkcp'];['banggar', 'allcaps', 'dpr', 'allcaps', 'tegaskan', 'subsidi', 'rp80', 'juta', 'untuk', 'beli', 'mobil', 'listrik', 'tak', 'masuk', 'akal', 'cohxlgraqkcp'];['banggar', 'allcaps', 'dpr', 'allcaps', 'tegaskan', 'subsidi', 'rp80', 'juta', 'beli', 'mobil', 'listrik', 'masuk', 'akal', 'cohxlgraqkcp'];banggar allcaps dpr allcaps tegaskan subsidi rp80 juta beli mobil listrik masuk akal cohxlgraqkcp;banggar allcaps dpr allcaps tegas subsidi rp80 juta beli mobil listrik masuk akal cohxlgraqkcp
22;Terlalu Besar! Subsidi Mobil Listrik Rp80 Juta Ditentang https://t.co/6uk8qP8tST;0;terlalu besar subsidi mobil listrik rp80 juta ditentang co6uk8qp8tst;['terlalu', 'besar', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'ditentang', 'co6uk8qp8tst'];['terlalu', 'besar', 'subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'ditentang', 'co6uk8qp8tst'];['subsidi', 'mobil', 'listrik', 'rp80', 'juta', 'ditentang', 'co6uk8qp8tst'];subsidi mobil listrik rp80 juta ditentang co6uk8qp8tst;subsidi mobil listrik rp80 juta tentang co6uk8qp8tst
23;Nganu...seagai kaum mendang mending, kyknya  anggaran yg disiapkan buat subsidi lebih baik dialihkan untuk riset enâ¦ https://t.co/IrY5z60C95;0;nganu repeated seagai kaum mendang mending kyknya anggaran yg disiapkan buat subsidi lebih baik dialihkan untuk riset en coiry5z60c95;['nganu', 'repeated', 'seagai', 'kaum', 'mendang', 'mending', 'kyknya', 'anggaran', 'yg', 'disiapkan', 'buat', 'subsidi', 'lebih', 'baik', 'dialihkan', 'untuk', 'riset', 'en', 'coiry5z60c95'];['nganu', 'repeated', 'seagai', 'kaum', 'mendang', 'baiknya', 'kyknya', 'anggaran', 'yang', 'disiapkan', 'buat', 'subsidi', 'lebih', 'baik', 'dialihkan', 'untuk', 'riset', 'en', 'coiry5z60c95'];['nganu', 'repeated', 'seagai', 'kaum', 'mendang', 'baiknya', 'kyknya', 'anggaran', 'disiapkan', 'subsidi', 'dialihkan', 'riset', 'en', 'coiry5z60c95'];nganu repeated seagai kaum mendang baiknya kyknya anggaran disiapkan subsidi dialihkan riset en coiry5z60c95;nganu repeated aga kaum dang baik kyknya anggar siap subsidi alih riset en coiry5z60c95
24;"SUBSIDI BBM ditarik jadi kendaraan kita mesti beli BBM dgn Harga lebih mahal

TAPI,

SUBSIDI pembelian mobil listriâ¦ https://t.co/iSE2UAvamf";0;allcaps subsidi bbm allcaps ditarik jadi kendaraan kita mesti beli allcaps bbm allcaps dgn harga lebih mahal allcaps tapi allcaps allcaps subsidi allcaps pembelian mobil listri coise2uavamf;['allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'jadi', 'kendaraan', 'kita', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'dgn', 'harga', 'lebih', 'mahal', 'allcaps', 'tapi', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listri', 'coise2uavamf'];['allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'jadi', 'kendaraan', 'kita', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'dengan', 'harga', 'lebih', 'mahal', 'allcaps', 'tapi', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listri', 'coise2uavamf'];['allcaps', 'subsidi', 'bbm', 'allcaps', 'ditarik', 'kendaraan', 'mesti', 'beli', 'allcaps', 'bbm', 'allcaps', 'harga', 'mahal', 'allcaps', 'allcaps', 'allcaps', 'subsidi', 'allcaps', 'pembelian', 'mobil', 'listri', 'coise2uavamf'];allcaps subsidi bbm allcaps ditarik kendaraan mesti beli allcaps bbm allcaps harga mahal allcaps allcaps allcaps subsidi allcaps pembelian mobil listri coise2uavamf;allcaps subsidi bbm allcaps tarik kendara mesti beli allcaps bbm allcaps harga mahal allcaps allcaps allcaps subsidi allcaps beli mobil listri coise2uavamf
25;"RT @RicKY_KCh: Ide subsidi Motor dan Mobil Listrik adalah wujud nyata pengingkaran Pancasila sila Ke 5.
Sementara itu  Subsidi BBM, Pupuk râ¦";0;rt user ide subsidi motor dan mobil listrik adalah wujud nyata pengingkaran pancasila sila ke number sementara itu subsidi allcaps bbm allcaps pupuk;['rt', 'user', 'ide', 'subsidi', 'motor', 'dan', 'mobil', 'listrik', 'adalah', 'wujud', 'nyata', 'pengingkaran', 'pancasila', 'sila', 'ke', 'number', 'sementara', 'itu', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'pupuk'];['rt', 'user', 'ide', 'subsidi', 'motor', 'dan', 'mobil', 'listrik', 'adalah', 'wujud', 'nyata', 'pengingkaran', 'pancasila', 'sila', 'ke', 'number', 'sementara', 'itu', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'pupuk'];['rt', 'user', 'ide', 'subsidi', 'motor', 'mobil', 'listrik', 'wujud', 'nyata', 'pengingkaran', 'pancasila', 'sila', 'number', 'subsidi', 'allcaps', 'bbm', 'allcaps', 'pupuk'];rt user ide subsidi motor mobil listrik wujud nyata pengingkaran pancasila sila number subsidi allcaps bbm allcaps pupuk;rt user ide subsidi motor mobil listrik wujud nyata ingkar pancasila sila number subsidi allcaps bbm allcaps pupuk
26;"""Masih ada hal lain yang lebih urgen dan harus diprioritaskan dibandingkan penambahan subsidi motor dan mobil listrâ¦ https://t.co/YJeVOL1tKA";0;masih ada hal lain yang lebih urgen dan harus diprioritaskan dibandingkan penambahan subsidi motor dan mobil listr coyjevol1tka;['masih', 'ada', 'hal', 'lain', 'yang', 'lebih', 'urgen', 'dan', 'harus', 'diprioritaskan', 'dibandingkan', 'penambahan', 'subsidi', 'motor', 'dan', 'mobil', 'listr', 'coyjevol1tka'];['masih', 'ada', 'hal', 'lain', 'yang', 'lebih', 'urgen', 'dan', 'harus', 'diprioritaskan', 'dibandingkan', 'penambahan', 'subsidi', 'motor', 'dan', 'mobil', 'listr', 'coyjevol1tka'];['urgen', 'diprioritaskan', 'dibandingkan', 'penambahan', 'subsidi', 'motor', 'mobil', 'listr', 'coyjevol1tka'];urgen diprioritaskan dibandingkan penambahan subsidi motor mobil listr coyjevol1tka;urgen prioritas banding tambah subsidi motor mobil listr coyjevol1tka
